sourceProductId	targetSlug	targetName	targetSku	sourceImageUrl	targetImageFile
4073	ao-bong-da-tre-em-x24-bd-554819-hong-065	Áo bóng đá trẻ em mẫu thiết kế riêng màu Hồng	X24-BD-DBX-KID-065	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-554819-hong-065.webp	ao-bong-da-tre-em-x24-bd-554819-hong-065.webp
4074	ao-bong-da-tre-em-x24-bd-9e5cf9-vang-066	Áo bóng đá trẻ em mẫu thiết kế riêng màu Vàng	X24-BD-DBX-KID-066	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-9e5cf9-vang-066.webp	ao-bong-da-tre-em-x24-bd-9e5cf9-vang-066.webp
4075	ao-bong-da-tre-em-x24-bd-5cdb6b-xanh-la-067	Áo bóng đá trẻ em mẫu thiết kế riêng màu Xanh lá	X24-BD-DBX-KID-067	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-5cdb6b-xanh-la-067.webp	ao-bong-da-tre-em-x24-bd-5cdb6b-xanh-la-067.webp
4076	ao-bong-da-tre-em-x24-bd-9109e1-xanh-ngoc-068	Áo bóng đá trẻ em mẫu thiết kế riêng màu Xanh ngọc	X24-BD-DBX-KID-068	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-9109e1-xanh-ngoc-068.webp	ao-bong-da-tre-em-x24-bd-9109e1-xanh-ngoc-068.webp
4077	ao-bong-da-tre-em-x24-bd-41914a-den-069	Áo bóng đá trẻ em mẫu thiết kế riêng màu Đen	X24-BD-DBX-KID-069	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-41914a-den-069.webp	ao-bong-da-tre-em-x24-bd-41914a-den-069.webp
4078	ao-bong-da-tre-em-x24-bd-2fed2c-tim-than-070	Áo bóng đá trẻ em mẫu thiết kế riêng màu Tím than	X24-BD-DBX-KID-070	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-2fed2c-tim-than-070.webp	ao-bong-da-tre-em-x24-bd-2fed2c-tim-than-070.webp
4079	ao-bong-da-tre-em-x24-bd-60e3fa-trang-071	Áo bóng đá trẻ em mẫu thiết kế riêng màu Trắng	X24-BD-DBX-KID-071	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-60e3fa-trang-071.webp	ao-bong-da-tre-em-x24-bd-60e3fa-trang-071.webp
4080	ao-bong-da-tre-em-x24-bd-efb5b7-cam-den-072	Áo bóng đá trẻ em mẫu thiết kế riêng màu Cam, Đen	X24-BD-DBX-KID-072	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-efb5b7-cam-den-072.webp	ao-bong-da-tre-em-x24-bd-efb5b7-cam-den-072.webp
4081	ao-bong-da-tre-em-x24-bd-29821a-xanh-ngoc-073	Áo bóng đá trẻ em mẫu thiết kế riêng màu Xanh ngọc	X24-BD-DBX-KID-073	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-29821a-xanh-ngoc-073.webp	ao-bong-da-tre-em-x24-bd-29821a-xanh-ngoc-073.webp
4082	ao-bong-da-tre-em-x24-bd-d6101b-do-074	Áo bóng đá trẻ em mẫu thiết kế riêng màu Đỏ	X24-BD-DBX-KID-074	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-d6101b-do-074.webp	ao-bong-da-tre-em-x24-bd-d6101b-do-074.webp
4083	ao-bong-da-tre-em-x24-bd-4b3f5f-hong-075	Áo bóng đá trẻ em mẫu thiết kế riêng màu Hồng	X24-BD-DBX-KID-075	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-4b3f5f-hong-075.webp	ao-bong-da-tre-em-x24-bd-4b3f5f-hong-075.webp
4084	ao-bong-da-tre-em-x24-bd-8410ec-vang-076	Áo bóng đá trẻ em mẫu thiết kế riêng màu Vàng	X24-BD-DBX-KID-076	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-8410ec-vang-076.webp	ao-bong-da-tre-em-x24-bd-8410ec-vang-076.webp
4085	ao-bong-da-tre-em-x24-bd-827d51-trang-077	Áo bóng đá trẻ em mẫu thiết kế riêng màu Trắng	X24-BD-DBX-KID-077	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-827d51-trang-077.webp	ao-bong-da-tre-em-x24-bd-827d51-trang-077.webp
4086	ao-bong-da-tre-em-x24-bd-4563a8-xanh-duong-078	Áo bóng đá trẻ em mẫu thiết kế riêng màu Xanh dương	X24-BD-DBX-KID-078	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-4563a8-xanh-duong-078.webp	ao-bong-da-tre-em-x24-bd-4563a8-xanh-duong-078.webp
4087	ao-bong-da-tre-em-x24-bd-dbac4b-cam-079	Áo bóng đá trẻ em mẫu thiết kế riêng màu Cam	X24-BD-DBX-KID-079	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-dbac4b-cam-079.webp	ao-bong-da-tre-em-x24-bd-dbac4b-cam-079.webp
4088	ao-bong-da-tre-em-x24-bd-9241d3-kem-080	Áo bóng đá trẻ em mẫu thiết kế riêng màu Kem	X24-BD-DBX-KID-080	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-9241d3-kem-080.webp	ao-bong-da-tre-em-x24-bd-9241d3-kem-080.webp
4089	ao-bong-da-tre-em-x24-bd-91a6a7-trang-081	Áo bóng đá trẻ em mẫu thiết kế riêng màu Trắng	X24-BD-DBX-KID-081	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-91a6a7-trang-081.webp	ao-bong-da-tre-em-x24-bd-91a6a7-trang-081.webp
4090	ao-bong-da-tre-em-x24-bd-9648bf-xanh-ngoc-082	Áo bóng đá trẻ em mẫu thiết kế riêng màu Xanh ngọc	X24-BD-DBX-KID-082	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-9648bf-xanh-ngoc-082.webp	ao-bong-da-tre-em-x24-bd-9648bf-xanh-ngoc-082.webp
4091	ao-bong-da-tre-em-x24-bd-07628e-xanh-ve-chai-083	Áo bóng đá trẻ em mẫu thiết kế riêng màu Xanh ve chai	X24-BD-DBX-KID-083	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-07628e-xanh-ve-chai-083.webp	ao-bong-da-tre-em-x24-bd-07628e-xanh-ve-chai-083.webp
